entry_id,lipid_system,lipid_components,composition,property,value,unit,uncertainty,temperature_C,phase,hydration,type,method,force_field,source_doi,source_citation,source_locator,extraction_confidence,notes,date_added
14,POPC,POPC,single,area_per_lipid,68.1,A^2,1.4,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
15,SOPC,SOPC,single,area_per_lipid,63.8,A^2,1.3,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
16,SOPC,SOPC,single,area_per_lipid,65.5,A^2,1.3,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
17,SOPC,SOPC,single,area_per_lipid,68.1,A^2,1.4,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
18,SOPC,SOPC,single,area_per_lipid,69.4,A^2,1.4,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
19,DPhyPC,DPhyPC,single,area_per_lipid,78.0,A^2,1.6,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
20,DPhyPC,DPhyPC,single,area_per_lipid,80.6,A^2,1.6,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
21,DPhyPC,DPhyPC,single,area_per_lipid,83.6,A^2,1.7,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
22,DPhyPC,DPhyPC,single,area_per_lipid,84.8,A^2,1.7,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 1,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
23,DLPC,DLPC,single,thickness_DB,33.0,A,0.7,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
24,DLPC,DLPC,single,thickness_DB,32.6,A,0.7,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
25,DLPC,DLPC,single,thickness_DB,31.0,A,0.6,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
26,DLPC,DLPC,single,thickness_DB,30.7,A,0.6,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
27,DMPC,DMPC,single,thickness_DB,36.7,A,0.7,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
28,DMPC,DMPC,single,thickness_DB,35.2,A,0.7,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
29,DMPC,DMPC,single,thickness_DB,34.2,A,0.7,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
30,DPPC,DPPC,single,thickness_DB,39.0,A,0.8,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
31,DPPC,DPPC,single,thickness_DB,38.1,A,0.8,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
32,DSPC,DSPC,single,thickness_DB,42.2,A,0.84,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
33,POPC,POPC,single,thickness_DB,39.8,A,0.8,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
34,POPC,POPC,single,thickness_DB,39.1,A,0.78,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
35,POPC,POPC,single,thickness_DB,37.9,A,0.8,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
36,POPC,POPC,single,thickness_DB,37.7,A,0.8,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
37,SOPC,SOPC,single,thickness_DB,40.8,A,0.8,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
38,SOPC,SOPC,single,thickness_DB,40.0,A,0.8,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
39,SOPC,SOPC,single,thickness_DB,39.0,A,0.8,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
40,SOPC,SOPC,single,thickness_DB,38.5,A,0.8,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
41,DPhyPC,DPhyPC,single,thickness_DB,36.3,A,0.7,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
42,DPhyPC,DPhyPC,single,thickness_DB,35.4,A,0.7,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
43,DPhyPC,DPhyPC,single,thickness_DB,34.7,A,0.7,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
44,DPhyPC,DPhyPC,single,thickness_DB,35.2,A,0.7,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 2,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
45,DLPC,DLPC,single,thickness_2DC,21.9,A,0.4,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
46,DLPC,DLPC,single,thickness_2DC,21.7,A,0.4,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
47,DLPC,DLPC,single,thickness_2DC,20.8,A,0.4,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
48,DLPC,DLPC,single,thickness_2DC,20.6,A,0.4,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
49,DMPC,DMPC,single,thickness_2DC,25.7,A,0.5,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
50,DMPC,DMPC,single,thickness_2DC,24.8,A,0.5,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
51,DMPC,DMPC,single,thickness_2DC,24.1,A,0.5,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
52,DPPC,DPPC,single,thickness_2DC,28.5,A,0.6,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
53,DPPC,DPPC,single,thickness_2DC,27.9,A,0.6,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
54,DSPC,DSPC,single,thickness_2DC,31.9,A,0.6,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
55,POPC,POPC,single,thickness_2DC,29.2,A,0.6,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
56,POPC,POPC,single,thickness_2DC,28.8,A,0.6,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
57,POPC,POPC,single,thickness_2DC,28.1,A,0.6,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
58,POPC,POPC,single,thickness_2DC,28.0,A,0.6,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
59,SOPC,SOPC,single,thickness_2DC,30.4,A,0.6,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
60,SOPC,SOPC,single,thickness_2DC,29.9,A,0.6,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
61,SOPC,SOPC,single,thickness_2DC,29.3,A,0.6,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
62,SOPC,SOPC,single,thickness_2DC,29.0,A,0.6,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
63,DPhyPC,DPhyPC,single,thickness_2DC,27.8,A,0.6,20.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
64,DPhyPC,DPhyPC,single,thickness_2DC,27.2,A,0.5,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
65,DPhyPC,DPhyPC,single,thickness_2DC,26.7,A,0.5,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
66,DPhyPC,DPhyPC,single,thickness_2DC,26.6,A,0.5,60.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1016/j.bbamem.2011.07.022,Kucerka2011,Table 3,high,Fully hydrated ULV; joint X-ray+neutron SDP analysis; symmetric uncertainty as reported.,2026-07-01
67,DOPC,DOPC,single,area_per_lipid,67.4,A^2,1.0,30.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1529/biophysj.108.132662,Kucerka2008,Abstract,high,Joint X-ray+neutron SDP; abstract-stated key result.,2026-07-01
68,DPPC,DPPC,single,area_per_lipid,63.0,A^2,1.0,50.0,fluid,fully_hydrated,experimental,SAXS+SANS_SDP,,10.1529/biophysj.108.132662,Kucerka2008,Abstract,high,Joint X-ray+neutron SDP; abstract key result. Duplicate T/method vs Kucerka2011 (63.1) — cross-check.,2026-07-01
69,SOPC,SOPC,single,area_per_lipid,67.47,A^2,0.067,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID630,NMRlipids BilayerData sim ID 630,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
70,SOPC,SOPC,single,thickness_DB,43.1,A,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID630,NMRlipids BilayerData sim ID 630,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
71,SOPC,SOPC,single,order_param_SCD_plateau,0.212,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID630,NMRlipids BilayerData sim ID 630,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=SOPC; FF_raw='CHARMM36'.",2026-07-01
72,SOPC,SOPC,single,order_param_SCD_plateau,0.198,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID630,NMRlipids BilayerData sim ID 630,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=SOPC; FF_raw='CHARMM36'.",2026-07-01
73,POPC:CHOL (8:1),POPC:CHOL,8:1,area_per_lipid,61.39,A^2,0.029,25.0,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.6992065,NMRlipidsDatabank_ID689,NMRlipids BilayerData sim ID 689,high,NMRlipids Databank; FF_raw='Lipid17'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
74,POPC:CHOL (8:1),POPC:CHOL,8:1,thickness_DB,40.75,A,,25.0,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.6992065,NMRlipidsDatabank_ID689,NMRlipids BilayerData sim ID 689,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='Lipid17'. Def: total-density-based head-head thickness.",2026-07-01
75,POPC:CHOL (8:1),POPC,8:1,order_param_SCD_plateau,0.264,dimensionless,,25.0,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.6992065,NMRlipidsDatabank_ID689,NMRlipids BilayerData sim ID 689,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=POPC; FF_raw='Lipid17'.",2026-07-01
76,POPC:CHOL (8:1),POPC,8:1,order_param_SCD_plateau,0.199,dimensionless,,25.0,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.6992065,NMRlipidsDatabank_ID689,NMRlipids BilayerData sim ID 689,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPC; FF_raw='Lipid17'.",2026-07-01
77,POPC,POPC,single,area_per_lipid,66.4,A^2,0.005,26.85,fluid,fully_hydrated,computational,MD_simulation,OPLS,10.5281/zenodo.10929839,NMRlipidsDatabank_ID803,NMRlipids BilayerData sim ID 803,high,NMRlipids Databank; FF_raw='OPLS4'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
78,POPC,POPC,single,thickness_DB,40.35,A,,26.85,fluid,fully_hydrated,computational,MD_simulation,OPLS,10.5281/zenodo.10929839,NMRlipidsDatabank_ID803,NMRlipids BilayerData sim ID 803,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='OPLS4'. Def: total-density-based head-head thickness.",2026-07-01
79,POPC,POPC,single,order_param_SCD_plateau,0.2066,dimensionless,,26.85,fluid,fully_hydrated,computational,MD_simulation,OPLS,10.5281/zenodo.10929839,NMRlipidsDatabank_ID803,NMRlipids BilayerData sim ID 803,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=POPC; FF_raw='OPLS4'.",2026-07-01
80,POPC,POPC,single,order_param_SCD_plateau,0.189,dimensionless,,26.85,fluid,fully_hydrated,computational,MD_simulation,OPLS,10.5281/zenodo.10929839,NMRlipidsDatabank_ID803,NMRlipids BilayerData sim ID 803,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPC; FF_raw='OPLS4'.",2026-07-01
81,DPPC,DPPC,single,area_per_lipid,60.24,A^2,0.016,49.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.15549,NMRlipidsDatabank_ID319,NMRlipids BilayerData sim ID 319,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
82,DPPC,DPPC,single,thickness_DB,43.85,A,,49.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.15549,NMRlipidsDatabank_ID319,NMRlipids BilayerData sim ID 319,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
83,DPPC,DPPC,single,order_param_SCD_plateau,0.2401,dimensionless,,49.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.15549,NMRlipidsDatabank_ID319,NMRlipids BilayerData sim ID 319,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=DPPC; FF_raw='CHARMM36'.",2026-07-01
84,DPPC,DPPC,single,order_param_SCD_plateau,0.2353,dimensionless,,49.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.15549,NMRlipidsDatabank_ID319,NMRlipids BilayerData sim ID 319,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=DPPC; FF_raw='CHARMM36'.",2026-07-01
85,POPC,POPC,single,area_per_lipid,64.83,A^2,0.014,29.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.164206,NMRlipidsDatabank_ID554,NMRlipids BilayerData sim ID 554,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
86,POPC,POPC,single,thickness_DB,42.12,A,,29.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.164206,NMRlipidsDatabank_ID554,NMRlipids BilayerData sim ID 554,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
87,POPC,POPC,single,order_param_SCD_plateau,0.2208,dimensionless,,29.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.164206,NMRlipidsDatabank_ID554,NMRlipids BilayerData sim ID 554,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=POPC; FF_raw='CHARMM36'.",2026-07-01
